sample_idx,true_label,times_wrong,wrong_by_models,common_wrong_pred
12,DoS,1,1,normal
13,physical fault,1,1,normal
35,MITM,1,1,normal
51,normal,1,1,MITM
64,MITM,1,1,normal
68,normal,1,1,DoS
89,MITM,1,1,normal
91,MITM,1,1,normal
102,MITM,1,1,normal
106,MITM,1,1,normal
119,MITM,1,1,normal
121,normal,1,1,nomal
145,MITM,1,1,normal
153,nomal,1,1,normal
166,DoS,1,1,normal
173,normal,1,1,MITM
177,nomal,1,1,normal
181,MITM,1,1,normal
184,physical fault,1,1,normal
208,normal,1,1,DoS
216,MITM,1,1,normal
224,MITM,1,1,normal
247,normal,1,1,MITM
251,normal,1,1,MITM
256,nomal,1,1,normal
263,nomal,1,1,normal
297,MITM,1,1,normal
