,network_large_knn,network_small_knn,network_medium_knn,network_large_mlp,network_small_mlp,network_medium_mlp,network_large_attention_mlp,network_small_attention_mlp,network_medium_attention_mlp,test_weights_mlp,network_small_tab_transformer,network_medium_tab_transformer,network_small_ft_transformer,network_medium_ft_transformer,network_large_random_forest,network_small_random_forest,network_medium_random_forest,network_small_xgboost,network_medium_xgboost
network_large_knn,1.0,0.029948237614000492,0.053469628464713974,0.1861502434672713,0.038366336633663366,0.08224349467439665,0.18516812528788576,0.07117584135604378,0.08234072022160664,0.0,0.08584517328376046,0.04885959405733417,0.03671388101983003,0.0817077403679278,0.19628628836693687,0.032288475135517324,0.08170136741565313,0.03450265405031156,0.08212224462832904
network_small_knn,0.029948237614000492,1.0,0.045068027210884355,0.03564799030192825,0.3056646102075154,0.04945155393053016,0.03242163491087892,0.10957824201813166,0.04935459377372817,0.0,0.1019453797231575,0.045846921158641855,0.3081761006289308,0.049475691134413725,0.03312713657821911,0.3372724369211115,0.049323562570462234,0.3256866888016903,0.04987102321582115
network_medium_knn,0.053469628464713974,0.045068027210884355,1.0,0.07843422055993318,0.0562998645190426,0.12026545807704758,0.06519687162891047,0.08734151740792916,0.11771076307897367,0.0,0.10431795112048099,0.5736153071500504,0.05425531914893617,0.11686575891738368,0.0640373197625106,0.0498637165303832,0.11910669975186104,0.05236091631603553,0.11930913054414354
network_large_mlp,0.1861502434672713,0.03564799030192825,0.07843422055993318,1.0,0.05276907001044932,0.15860312841033103,0.44641251221896383,0.11603655133928571,0.15312854001465984,0.0,0.1682094683946046,0.06686773576577902,0.051274385230585244,0.15275322682853618,0.40978569483878496,0.04426877470355731,0.15500781691780594,0.04807980798079808,0.15247055683448438
network_small_mlp,0.038366336633663366,0.3056646102075154,0.0562998645190426,0.05276907001044932,1.0,0.0737070838765754,0.044754325764766005,0.20126353790613719,0.07324095735108872,0.0,0.27060949894567726,0.0511968085106383,0.9169598874032372,0.07374604609127881,0.0444256236526024,0.7977967306325515,0.0731729055258467,0.8653437278525868,0.07339366515837104
network_medium_mlp,0.08224349467439665,0.04945155393053016,0.12026545807704758,0.15860312841033103,0.0737070838765754,1.0,0.11571556775589928,0.14360609280906836,0.9481612300020777,0.0,0.18738189576348674,0.007663422484481569,0.0714098646879092,0.9408590993982154,0.11317355462138996,0.06182987848463188,0.9643898375676802,0.06727288779023571,0.9416043225270158
network_large_attention_mlp,0.18516812528788576,0.03242163491087892,0.06519687162891047,0.44641251221896383,0.044754325764766005,0.11571556775589928,1.0,0.08800721370604148,0.11308180156938621,0.0,0.11814720150226905,0.057472873643682185,0.04340812435841032,0.1122893901060451,0.8739622641509434,0.03763400554764225,0.11370808151040274,0.041370106761565835,0.11241041116559788
network_small_attention_mlp,0.07117584135604378,0.10957824201813166,0.08734151740792916,0.11603655133928571,0.20126353790613719,0.14360609280906836,0.08800721370604148,1.0,0.14098003629764067,0.0,0.38911886457717326,0.07665282657297988,0.2014828303850156,0.1412964311726147,0.08659445244505666,0.18115071419036177,0.14147678107874243,0.19322525372347438,0.1408368566846479
network_medium_attention_mlp,0.08234072022160664,0.04935459377372817,0.11771076307897367,0.15312854001465984,0.07324095735108872,0.9481612300020777,0.11308180156938621,0.14098003629764067,1.0,0.0,0.18200992555831266,0.007442596991290578,0.07076366922729327,0.9435466723368063,0.11033869084033146,0.06131332777623414,0.9593072673183171,0.06666666666666667,0.9472168905950096
test_weights_mlp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
network_small_tab_transformer,0.08584517328376046,0.1019453797231575,0.10431795112048099,0.1682094683946046,0.27060949894567726,0.18738189576348674,0.11814720150226905,0.38911886457717326,0.18200992555831266,0.0,1.0,0.088451889617221,0.2703576480096989,0.18107251600074567,0.11451656342580124,0.22610183135439726,0.18307511881982594,0.24886604172966434,0.18151835718730555
network_medium_tab_transformer,0.04885959405733417,0.045846921158641855,0.5736153071500504,0.06686773576577902,0.0511968085106383,0.007663422484481569,0.057472873643682185,0.07665282657297988,0.007442596991290578,0.0,0.088451889617221,1.0,0.04976462676529926,0.007630554010015102,0.05704401589871927,0.04684426962274271,0.003910221318526629,0.04789901435241224,0.005880950488754669
network_small_ft_transformer,0.03671388101983003,0.3081761006289308,0.05425531914893617,0.051274385230585244,0.9169598874032372,0.0714098646879092,0.04340812435841032,0.2014828303850156,0.07076366922729327,0.0,0.2703576480096989,0.04976462676529926,1.0,0.07135724012709942,0.043246170509051524,0.8171532846715328,0.07091055600322321,0.8933528122717312,0.07090264521407144
network_medium_ft_transformer,0.0817077403679278,0.049475691134413725,0.11686575891738368,0.15275322682853618,0.07374604609127881,0.9408590993982154,0.1122893901060451,0.1412964311726147,0.9435466723368063,0.0,0.18107251600074567,0.007630554010015102,0.07135724012709942,1.0,0.10951426024955437,0.062075383899488135,0.953483432455395,0.06744463842690435,0.9473965572543569
network_large_random_forest,0.19628628836693687,0.03312713657821911,0.0640373197625106,0.40978569483878496,0.0444256236526024,0.11317355462138996,0.8739622641509434,0.08659445244505666,0.11033869084033146,0.0,0.11451656342580124,0.05704401589871927,0.043246170509051524,0.10951426024955437,1.0,0.03771790808240887,0.1112464024795218,0.04117416829745597,0.10969828788132285
network_small_random_forest,0.032288475135517324,0.3372724369211115,0.0498637165303832,0.04426877470355731,0.7977967306325515,0.06182987848463188,0.03763400554764225,0.18115071419036177,0.06131332777623414,0.0,0.22610183135439726,0.04684426962274271,0.8171532846715328,0.062075383899488135,0.03771790808240887,1.0,0.06174878429213689,0.8781825303564434,0.061894108873974646
network_medium_random_forest,0.08170136741565313,0.049323562570462234,0.11910669975186104,0.15500781691780594,0.0731729055258467,0.9643898375676802,0.11370808151040274,0.14147678107874243,0.9593072673183171,0.0,0.18307511881982594,0.003910221318526629,0.07091055600322321,0.953483432455395,0.1112464024795218,0.06174878429213689,1.0,0.06695053451712267,0.9649235375895626
network_small_xgboost,0.03450265405031156,0.3256866888016903,0.05236091631603553,0.04807980798079808,0.8653437278525868,0.06727288779023571,0.041370106761565835,0.19322525372347438,0.06666666666666667,0.0,0.24886604172966434,0.04789901435241224,0.8933528122717312,0.06744463842690435,0.04117416829745597,0.8781825303564434,0.06695053451712267,1.0,0.06688132474701013
network_medium_xgboost,0.08212224462832904,0.04987102321582115,0.11930913054414354,0.15247055683448438,0.07339366515837104,0.9416043225270158,0.11241041116559788,0.1408368566846479,0.9472168905950096,0.0,0.18151835718730555,0.005880950488754669,0.07090264521407144,0.9473965572543569,0.10969828788132285,0.061894108873974646,0.9649235375895626,0.06688132474701013,1.0
