,Experiment,Model,Dataset,Config,Accuracy,F1 (macro),F1 (weighted),Balanced Acc,MCC,Training Time (s),Best Epoch
1,2026-01-20_23-18-21_test_weights_mlp,mlp,network,test_weights,1.0,1.0,1.0,1.0,0.0,3.487548589706421,1
2,2026-01-14_23-14-58_network_small_random_forest,forest,network,network_small,0.8759777777777777,0.8688314493198924,0.8986722707834258,0.9591698128770701,0.562729369424114,43.01654005050659,1
3,2026-01-15_00-55-56_network_small_knn,knn,network,network_small,0.8990044444444445,0.8367961948483902,0.9028669928884129,0.8442293526049164,0.34947227941678666,5.308691024780273,1
4,2026-01-15_00-11-13_network_small_ft_transformer,transformer,network,network_small,0.8552133333333334,0.7742867666917624,0.8839906813407126,0.9598184944738808,0.5401355201897641,2673.946097612381,7
5,2026-01-14_23-01-53_network_small_mlp,mlp,network,network_small,0.8510266666666667,0.7717844530287417,0.8809591339260635,0.958486651612984,0.5332558319151932,745.0533175468445,1
6,2026-01-21_06-16-44_network_large_random_forest,forest,network,network_large,0.78536,0.7489883226329276,0.8240346887077376,0.9381763147184264,0.6018215515155285,744.848397731781,1
7,2026-01-15_01-05-22_network_small_tab_transformer,transformer,network,network_small,0.4656355555555556,0.7041728603402045,0.5639481074044099,0.8548296270193599,0.23003749445121882,2786.679379940033,9
8,2026-01-20_20-35-56_network_medium_xgboost,xgboost,network,network_medium,0.7113226666666667,0.6961499394577313,0.7642802774586904,0.9278759677830261,0.4692526086018733,680.6835262775421,1
9,2026-01-20_21-05-35_network_medium_random_forest,forest,network,network_medium,0.705824,0.6843197981233472,0.7598250753611057,0.8723961225672053,0.4665029169535722,755.9691512584686,1
10,2026-01-21_06-30-17_network_medium_random_forest,forest,network,network_medium,0.705824,0.6843197981233472,0.7598250753611057,0.8723961225672053,0.4665029169535722,641.1937403678894,1
11,2026-01-21_03-38-32_network_large_knn,knn,network,network_large,0.87078,0.6672444984365749,0.8613492469108556,0.6907133572706255,0.5412014786460869,4.281448602676392,1
12,2026-01-14_23-39-12_network_small_xgboost,xgboost,network,network_small,0.8662844444444444,0.6134329873312258,0.8918054304371391,0.7094518024635292,0.5514703596734442,26.546245574951172,1
13,2026-01-14_23-49-15_network_small_attention_mlp,mlp,network,network_small,0.6476444444444445,0.5952640199038078,0.7296668779712292,0.812123917493895,0.1379816769928982,1308.2579352855682,2
14,2026-01-20_20-48-35_network_medium_knn,knn,network,network_medium,0.8589413333333333,0.5908693377381405,0.839678699454123,0.5706295646495595,0.21976360664463124,18.35760259628296,1
15,2026-01-21_04-08-05_network_medium_knn,knn,network,network_medium,0.8589413333333333,0.5908693377381405,0.839678699454123,0.5706295646495595,0.21976360664463124,17.308095932006836,1
16,2026-01-20_23-22-03_network_medium_attention_mlp,mlp,network,network_medium,0.708856,0.5452020395065448,0.76247971505677,0.7449546343533103,0.46496689131435476,161.0565664768219,1
17,2026-01-20_23-44-20_network_large_attention_mlp,mlp,network,network_large,0.7700283333333333,0.4577481398996855,0.8128721676922249,0.6084752669431636,0.5831235943058829,2889.721789121628,2
18,2026-01-20_23-21-19_network_medium_mlp,mlp,network,network_medium,0.6954933333333333,0.4523148491581625,0.7520269743793557,0.7652913455479603,0.45634163388708243,24.791115045547485,1
19,2026-01-20_23-29-47_network_medium_ft_transformer,transformer,network,network_medium,0.7107946666666667,0.445735383912008,0.7641756992837212,0.6014544061701168,0.46577298083094276,385.68301153182983,1
20,2026-01-20_23-25-00_network_medium_tab_transformer,transformer,network,network_medium,0.882016,0.32153643098421075,0.826751930207218,0.3307127882599581,0.14203478399482725,268.6498718261719,1
21,2026-01-21_04-24-57_network_large_mlp,mlp,network,network_large,0.48990333333333336,0.29437393279515855,0.6044862132563806,0.40811728870133107,0.32212086402047807,2994.3932359218597,4
