,large_knn,small_knn,small_k20_uniform_knn,medium_knn,small_k10_manhattan_knn,small_k5_dist_knn,large_mlp,small_mlp,[01-20 21:53] medium_mlp,[01-21 06:15] medium_mlp,large_attention_mlp,small_attention_mlp,[01-20 22:00] medium_attention_mlp,[01-21 01:33] medium_attention_mlp,large_tab_transformer,small_tab_transformer,[01-21 08:43] medium_tab_transformer,[01-20 21:54] medium_tab_transformer,large_ft_transformer,small_ft_transformer,[01-21 03:36] medium_ft_transformer,[01-20 21:58] medium_ft_transformer,large_random_forest,small_random_forest,medium_random_forest,large_xgboost,small_xgboost,medium_xgboost
large_knn,1.0,0.32,0.08900523560209424,0.3404255319148936,0.15178571428571427,0.3404255319148936,0.04415584415584416,0.08056872037914692,0.07555555555555556,0.07555555555555556,0.033203125,0.09467455621301775,0.13675213675213677,0.08791208791208792,0.16161616161616163,0.22727272727272727,0.2222222222222222,0.25,0.041916167664670656,0.05818181818181818,0.09411764705882353,0.07920792079207921,0.3076923076923077,0.029275808936825885,0.16176470588235295,0.23809523809523808,0.0603448275862069,0.25
small_knn,0.32,1.0,0.18681318681318682,0.7317073170731707,0.3173076923076923,0.7317073170731707,0.08465608465608465,0.14009661835748793,0.15207373271889402,0.15207373271889402,0.06759443339960239,0.17682926829268292,0.21551724137931033,0.15730337078651685,0.11818181818181818,0.36923076923076925,0.39622641509433965,0.37735849056603776,0.06639839034205232,0.11152416356877323,0.14792899408284024,0.15306122448979592,0.09259259259259259,0.049689440993788817,0.16,0.2,0.09956709956709957,0.13725490196078433
small_k20_uniform_knn,0.08900523560209424,0.18681318681318682,1.0,0.17679558011049723,0.532967032967033,0.17679558011049723,0.369727047146402,0.5491803278688525,0.6131687242798354,0.5870445344129555,0.2787193973634652,0.5952380952380952,0.4816753926701571,0.5330396475770925,0.13247863247863248,0.26229508196721313,0.18681318681318682,0.1878453038674033,0.25842696629213485,0.42718446601941745,0.423728813559322,0.4838709677419355,0.02030456852791878,0.21185185185185185,0.17435897435897435,0.06315789473684211,0.31561461794019935,0.05263157894736842
medium_knn,0.3404255319148936,0.7317073170731707,0.17679558011049723,1.0,0.32673267326732675,1.0,0.07957559681697612,0.15346534653465346,0.14883720930232558,0.14883720930232558,0.06374501992031872,0.1949685534591195,0.26605504587155965,0.1871345029239766,0.12149532710280374,0.43333333333333335,0.5106382978723404,0.48936170212765956,0.0625,0.12121212121212122,0.15060240963855423,0.15544041450777202,0.07692307692307693,0.04665629860031104,0.2,0.2127659574468085,0.10087719298245613,0.14583333333333334
small_k10_manhattan_knn,0.15178571428571427,0.3173076923076923,0.532967032967033,0.32673267326732675,1.0,0.32673267326732675,0.22538860103626943,0.41037735849056606,0.4423963133640553,0.42272727272727273,0.171875,0.49707602339181284,0.48905109489051096,0.4308510638297872,0.17721518987341772,0.36936936936936937,0.3300970873786408,0.32038834951456313,0.1673228346456693,0.32116788321167883,0.3526315789473684,0.3894230769230769,0.03389830508474576,0.1334355828220859,0.21951219512195122,0.10810810810810811,0.26294820717131473,0.09009009009009009
small_k5_dist_knn,0.3404255319148936,0.7317073170731707,0.17679558011049723,1.0,0.32673267326732675,1.0,0.07957559681697612,0.15346534653465346,0.14883720930232558,0.14883720930232558,0.06374501992031872,0.1949685534591195,0.26605504587155965,0.1871345029239766,0.12149532710280374,0.43333333333333335,0.5106382978723404,0.48936170212765956,0.0625,0.12121212121212122,0.15060240963855423,0.15544041450777202,0.07692307692307693,0.04665629860031104,0.2,0.2127659574468085,0.10087719298245613,0.14583333333333334
large_mlp,0.04415584415584416,0.08465608465608465,0.369727047146402,0.07957559681697612,0.22538860103626943,0.07957559681697612,1.0,0.39853300733496333,0.4019138755980861,0.3952380952380952,0.6256983240223464,0.30617283950617286,0.19548872180451127,0.33497536945812806,0.0954653937947494,0.12433862433862433,0.07611548556430446,0.06788511749347259,0.43140495867768597,0.3925438596491228,0.24413145539906103,0.3412887828162291,0.01282051282051282,0.4415954415954416,0.11023622047244094,0.02857142857142857,0.41148325358851673,0.026041666666666668
small_mlp,0.08056872037914692,0.14009661835748793,0.5491803278688525,0.15346534653465346,0.41037735849056606,0.15346534653465346,0.39853300733496333,1.0,0.7024793388429752,0.6816326530612244,0.3089887640449438,0.6824644549763034,0.470873786407767,0.6283185840707964,0.12648221343873517,0.2613065326633166,0.17412935323383086,0.16336633663366337,0.2767527675276753,0.42724458204334365,0.424,0.4980694980694981,0.03271028037383177,0.25449101796407186,0.17452830188679244,0.0673076923076923,0.31230283911671924,0.05263157894736842
[01-20 21:53] medium_mlp,0.07555555555555556,0.15207373271889402,0.6131687242798354,0.14883720930232558,0.4423963133640553,0.14883720930232558,0.4019138755980861,0.7024793388429752,1.0,0.7530864197530864,0.30825688073394497,0.7004608294930875,0.4744186046511628,0.6324786324786325,0.11567164179104478,0.24413145539906103,0.16822429906542055,0.16355140186915887,0.2743682310469314,0.44376899696048633,0.45098039215686275,0.4944237918215613,0.026200873362445413,0.24926686217008798,0.15859030837004406,0.06306306306306306,0.3149847094801223,0.04932735426008968
[01-21 06:15] medium_mlp,0.07555555555555556,0.15207373271889402,0.5870445344129555,0.14883720930232558,0.42272727272727273,0.14883720930232558,0.3952380952380952,0.6816326530612244,0.7530864197530864,1.0,0.2987249544626594,0.6473214285714286,0.4675925925925926,0.6186440677966102,0.11567164179104478,0.2383177570093458,0.16822429906542055,0.16355140186915887,0.2743682310469314,0.4570552147239264,0.42857142857142855,0.5169811320754717,0.026200873362445413,0.24017467248908297,0.15350877192982457,0.06306306306306306,0.3069908814589666,0.04932735426008968
